unit_i,county_i,unit_j,county_j,distance_km,weight_inverse_distance
350212,同安区,350526,德化县,98.67637200674933,0.01190034422334446
350212,同安区,350581,石狮市,58.1548151951835,0.020192357067078514
350212,同安区,350582,晋江市,45.76009452151335,0.025661721328810606
350212,同安区,350583,南安市,39.25774467972225,0.029912130795370404
350212,同安区,350602,芗城区,51.707482453873425,0.022710113466433958
350212,同安区,350603,龙文区,47.80255833382346,0.024565270866689703
350212,同安区,350622,云霄县,115.82560637223716,0.010138369488152995
350212,同安区,350623,漳浦县,81.36269553254427,0.01443269284412298
350212,同安区,350624,诏安县,139.5514530239187,0.00841469413714983
350212,同安区,350625,长泰县,31.28664162026937,0.037533040709308255
350212,同安区,350626,东山县,137.2931815966502,0.008553103511294546
350212,同安区,350627,南靖县,80.30813698537938,0.014622214356745622
350212,同安区,350628,平和县,100.97821181598749,0.011629070989403169
350212,同安区,350629,华安县,55.579924676637035,0.021127822688192972
350212,同安区,350681,龙海市,50.61612482606151,0.02319977670409267
350212,同安区,350702,延平区,198.78956012383992,0.005907165310188148
350212,同安区,350721,顺昌县,237.49880875054234,0.004944373404518926
350212,同安区,350722,浦城县,357.7183767818968,0.003282701895706846
350212,同安区,350723,光泽县,324.7782977373915,0.003615644277255888
350212,同安区,350724,松溪县,321.3341799978185,0.0036543974052155935
350212,同安区,350725,政和县,295.0976307549822,0.003979302682257413
350212,同安区,350781,邵武市,277.5227320878037,0.004231303089145088
350212,同安区,350782,武夷山市,329.2506857578171,0.0035665310487913797
350212,同安区,350783,建瓯市,255.393918769954,0.004597927778573472
350212,同安区,350784,建阳市,293.7064456730043,0.003998151252351086
350212,同安区,350802,新罗区,116.51301156031401,0.010078554985965927
350212,同安区,350821,长汀县,197.79798495688053,0.005936778344061994
350212,同安区,350822,永定县,133.29180984608712,0.008809864574177964
350212,同安区,350823,上杭县,158.16671117348085,0.007424335910374518
350212,同安区,350824,武平县,198.87357327009195,0.0059046698577508066
350212,同安区,350825,连城县,158.77087913285703,0.007396084218998917
350212,同安区,350881,漳平市,92.434118879693,0.012703997266631472
350212,同安区,350902,蕉城区,258.6860493945325,0.004539412915151688
350212,同安区,350921,霞浦县,298.5438442022405,0.003933367967204248
350212,同安区,350922,古田县,217.85893950516117,0.005390106076245217
350212,同安区,350923,屏南县,259.3440299777964,0.0045278959908645056
350212,同安区,350924,寿宁县,325.2831618163064,0.003610032523768471
350212,同安区,350925,周宁县,286.10124497175565,0.004104430911186826
350212,同安区,350926,柘荣县,324.221471761841,0.0036218538741742733
350212,同安区,350981,福安市,299.11883513825626,0.003925806922350246
350212,同安区,350982,福鼎市,342.61248812425134,0.0034274372192914485
350213,翔安区,350102,鼓楼区,184.64534901998118,0.00658558892687093
350213,翔安区,350103,台江区,182.83658777943933,0.0066507386769386525
350213,翔安区,350104,仓山区,178.60011242101314,0.006808497203169388
350213,翔安区,350105,马尾区,196.21945020095126,0.0061971347114615
350213,翔安区,350111,晋安区,194.43272021871977,0.00625408297809296
350213,翔安区,350121,闽侯县,182.82746500560916,0.006651070537278955
350213,翔安区,350122,连江县,225.3010264277837,0.005397216271866268
350213,翔安区,350123,罗源县,231.60036359169266,0.0052504164805543645
350213,翔安区,350124,闽清县,177.6254483022883,0.006845856703116007
350213,翔安区,350125,永泰县,137.234080341396,0.008860760846570894
350213,翔安区,350128,平潭县,171.28947911045142,0.007099083797902744
350213,翔安区,350181,福清市,150.60666245383507,0.008074001150360409
350213,翔安区,350182,长乐市,182.2068856464034,0.0066737234522739825
350213,翔安区,350203,思明区,28.419473494054944,0.042787505059113086
350213,翔安区,350205,海沧区,38.09141330916263,0.031923162210726004
350213,翔安区,350206,湖里区,27.7851453354486,0.04376433346752452
350213,翔安区,350211,集美区,27.20133087031304,0.04470363496924782
350213,翔安区,350212,同安区,21.950107253671064,0.055398288120019804
350213,翔安区,350302,城厢区,105.94652438484525,0.011477472932355527
350213,翔安区,350303,涵江区,128.11416881319047,0.009491521329520646
350213,翔安区,350304,荔城区,111.53114158038944,0.010902769833371951
350213,翔安区,350305,秀屿区,115.25399979598635,0.010550595797600705
350213,翔安区,350322,仙游县,92.38374498954667,0.013162471017404606
350213,翔安区,350402_350403,三元区（含原梅列区）,185.16625260142325,0.006567062565778034
350213,翔安区,350421,明溪县,216.74723861427432,0.005610213877133677
350213,翔安区,350423,清流县,208.49799416301428,0.005832182562646032
350213,翔安区,350424,宁化县,232.82281615553967,0.005222848799714913
350213,翔安区,350425,大田县,135.1191817187017,0.008999450340335367
350213,翔安区,350426,尤溪县,159.68907618635507,0.007614787404024756
350213,翔安区,350427,沙县,199.93607833755163,0.006081935666714632
350213,翔安区,350428,将乐县,243.77687136220757,0.004988161342416511
350213,翔安区,350429,泰宁县,267.38166251023404,0.004547800153863071
350213,翔安区,350430,建宁县,280.41581262909574,0.004336411540074595
350213,翔安区,350481,永安市,167.27010008108329,0.007269669626040503
350213,翔安区,350502,鲤城区,35.4924160066029,0.034260794353305944
350213,翔安区,350503,丰泽区,40.70967423790466,0.029870009737685242
350213,翔安区,350504,洛江区,58.95343065392398,0.020626422456099566
350213,翔安区,350505,泉港区,76.34098841405091,0.015928512207740764
350213,翔安区,350521,惠安县,61.15426251307168,0.019884114629692206
350213,翔安区,350524,安溪县,60.511969531401206,0.020095170845053946
350213,翔安区,350525,永春县,78.04481588412266,0.015580770511518209
350213,翔安区,350526,德化县,105.90805272094862,0.011481642185492488
350213,翔安区,350581,石狮市,37.93533418846704,0.032054505170904475
350213,翔安区,350582,晋江市,27.311458758489422,0.04452337667705971
350213,翔安区,350583,南安市,35.707589986603374,0.0340543387655235
350213,翔安区,350602,芗城区,68.15051872699243,0.017842833607407082
350213,翔安区,350603,龙文区,62.39331250228876,0.01948924198983024
350213,翔安区,350622,云霄县,124.83966767464204,0.009740480638520675
350213,翔安区,350623,漳浦县,87.87374823970998,0.013838016361690814
350213,翔安区,350624,诏安县,149.32707413623552,0.008143187515981292
350213,翔安区,350625,长泰县,51.234258023055176,0.023734087558309375
350213,翔安区,350626,东山县,141.6676644960528,0.008583457419375237
350213,翔安区,350627,南靖县,99.6618750170144,0.012201239096661681
350213,翔安区,350628,平和县,115.12396682031809,0.010562512737266069
350213,翔安区,350629,华安县,77.33792430661691,0.015723183377448977
350213,翔安区,350681,龙海市,58.79186416740301,0.020683106125735217
350213,翔安区,350702,延平区,206.83289253122106,0.005879134363121926
350213,翔安区,350721,顺昌县,248.81818535895323,0.004887096030179496
350213,翔安区,350722,浦城县,364.3081150961997,0.003337829478717783
350213,翔安区,350723,光泽县,338.1451032579195,0.003596084503925836
350213,翔安区,350724,松溪县,326.0640524180649,0.003729323600336988
350213,翔安区,350725,政和县,298.01333810570446,0.004080348797921572
350213,翔安区,350781,邵武市,290.7912521531996,0.004181688262285047
350213,翔安区,350782,武夷山市,338.65606578848457,0.0035906587501187293
350213,翔安区,350783,建瓯市,261.6992434017943,0.004646549031237546
350213,翔安区,350784,建阳市,302.7677571525129,0.004016274313158361
350213,翔安区,350802,新罗区,138.44722148156015,0.008783118598491813
350213,翔安区,350821,长汀县,219.54323891506377,0.0055387648096721755
350213,翔安区,350822,永定县,153.60407203047626,0.007916446158165277
350213,翔安区,350823,上杭县,179.97881302780814,0.006756341735159265
350213,翔安区,350824,武平县,220.4886331490613,0.005515016119139941
350213,翔安区,350825,连城县,180.2662855137608,0.006745567328014765
350213,翔安区,350881,漳平市,113.2099051807876,0.010741095171507734
350213,翔安区,350902,蕉城区,256.3983321086445,0.004742614181237915
350213,翔安区,350921,霞浦县,293.0444986019414,0.004149534871685013
350213,翔安区,350922,古田县,219.21398465824612,0.005547083904340973
350213,翔安区,350923,屏南县,261.14942318158324,0.00465633180839421
350213,翔安区,350924,寿宁县,324.9231532406619,0.003742418334231629
350213,翔安区,350925,周宁县,285.92747457101206,0.004252820991507078
350213,翔安区,350926,柘荣县,320.9167571535691,0.0037891395160842643
350213,翔安区,350981,福安市,296.9080244604583,0.0040955389067504
350213,翔安区,350982,福鼎市,337.61544530016505,0.0036017261142276646
350302,城厢区,350102,鼓楼区,79.79965223401189,0.01512300402270784
350302,城厢区,350103,台江区,77.70187416834295,0.015531291550716846
350302,城厢区,350104,仓山区,73.5053086464584,0.016418004141035523
350302,城厢区,350105,马尾区,90.27870234535226,0.013367609750626612
350302,城厢区,350111,晋安区,90.42471032126676,0.013346025189995238
350302,城厢区,350121,闽侯县,80.89005972058233,0.014919144155837205
350302,城厢区,350122,连江县,119.42851097431519,0.010104877402391715
350302,城厢区,350123,罗源县,127.77011090995492,0.00944517033875113
350302,城厢区,350124,闽清县,88.99786195708451,0.013559993860611868
350302,城厢区,350125,永泰县,49.87839331743522,0.024195054841989114
350302,城厢区,350128,平潭县,79.58452569719583,0.015163883319947594
350302,城厢区,350181,福清市,45.950487647405815,0.026263278662153226
350302,城厢区,350182,长乐市,77.27098899558288,0.015617898482115124
350302,城厢区,350203,思明区,134.22999096794408,0.008990617171641254
350302,城厢区,350205,海沧区,141.7145829680953,0.008515781766914855
350302,城厢区,350206,湖里区,133.6417344544769,0.009030191554096678
350302,城厢区,350211,集美区,128.25833970366907,0.00940921630931673
350302,城厢区,350212,同安区,113.9145512294957,0.010593997419296957
350302,城厢区,350213,翔安区,105.94652438484525,0.011390750841074994
350302,城厢区,350303,涵江区,22.254439202617935,0.05422785318282401
350302,城厢区,350304,荔城区,12.416064043716188,0.09719750619008921
350302,城厢区,350305,秀屿区,40.32878389021379,0.029924295883330464
350302,城厢区,350322,仙游县,24.411469271477372,0.049436207559849704
350302,城厢区,350402_350403,三元区（含原梅列区）,163.43917275594748,0.007383850770877895
350302,城厢区,350421,明溪县,200.48961899298226,0.006019316450433727
350302,城厢区,350423,清流县,217.33808110036492,0.005552687571527575
350302,城厢区,350424,宁化县,240.09611766328854,0.005026363914130768
350302,城厢区,350425,大田县,120.65307917589567,0.010002317968083383
350302,城厢区,350426,尤溪县,108.56689046435235,0.011115824139237932
350302,城厢区,350427,沙县,159.15524710758322,0.007582599277609038
350302,城厢区,350428,将乐县,211.2061970864882,0.005713897027611665
350302,城厢区,350429,泰宁县,238.83826860402777,0.0050528354136850275
350302,城厢区,350430,建宁县,262.51640486648074,0.004597085893963266
350302,城厢区,350481,永安市,171.40583782005157,0.0070406613747461995
350302,城厢区,350502,鲤城区,71.82900371669578,0.0168011582968001
350302,城厢区,350503,丰泽区,66.88993533855404,0.018041734614296548
350302,城厢区,350504,洛江区,47.05346914024853,0.02564764052037491
350302,城厢区,350505,泉港区,32.14351701596358,0.03754444360106284
350302,城厢区,350521,惠安县,52.686673962430085,0.022905421257113385
