"distcode","county_cn","county_en","province_cn","year","month_count","co2_million_tons","co2_10000_tons"
"350423","清流县","Qingliu County","福建省","2018","12","2.56765681443247","256.765681443247"
"350423","清流县","Qingliu County","福建省","2019","12","2.72840314682223","272.840314682223"
"350423","清流县","Qingliu County","福建省","2020","12","2.73043583009009","273.043583009009"
"350423","清流县","Qingliu County","福建省","2021","12","3.1129352679977","311.29352679977"
"350424","宁化县","Ninghua County","福建省","2013","12","2.63468259979581","263.468259979581"
"350424","宁化县","Ninghua County","福建省","2014","12","2.64680896898639","264.680896898639"
"350424","宁化县","Ninghua County","福建省","2015","12","2.45093744247125","245.093744247125"
"350424","宁化县","Ninghua County","福建省","2016","12","2.67665656744965","267.665656744965"
"350424","宁化县","Ninghua County","福建省","2017","12","2.96950537205623","296.950537205623"
"350424","宁化县","Ninghua County","福建省","2018","12","2.87075220418087","287.075220418087"
"350424","宁化县","Ninghua County","福建省","2019","12","3.04055041890748","304.055041890748"
"350424","宁化县","Ninghua County","福建省","2020","12","3.09398179155673","309.398179155673"
"350424","宁化县","Ninghua County","福建省","2021","12","3.46234562564661","346.234562564661"
"350425","大田县","Datian County","福建省","2013","12","2.23978599869675","223.978599869675"
"350425","大田县","Datian County","福建省","2014","12","2.45926872085599","245.926872085599"
"350425","大田县","Datian County","福建省","2015","12","2.54502997136378","254.502997136378"
"350425","大田县","Datian County","福建省","2016","12","2.85496887715645","285.496887715645"
"350425","大田县","Datian County","福建省","2017","12","2.72821063817201","272.821063817201"
"350425","大田县","Datian County","福建省","2018","12","2.65896196119089","265.896196119089"
"350425","大田县","Datian County","福建省","2019","12","3.18099961982829","318.099961982829"
"350425","大田县","Datian County","福建省","2020","12","3.54172819585602","354.172819585602"
"350425","大田县","Datian County","福建省","2021","12","3.59816699970868","359.816699970868"
"350426","尤溪县","Youxi County","福建省","2013","12","2.26021740820548","226.021740820548"
"350426","尤溪县","Youxi County","福建省","2014","12","2.46299456658876","246.299456658876"
"350426","尤溪县","Youxi County","福建省","2015","12","2.60851539382201","260.851539382201"
"350426","尤溪县","Youxi County","福建省","2016","12","2.5719582388491","257.19582388491"
"350426","尤溪县","Youxi County","福建省","2017","12","2.44193418497755","244.193418497755"
"350426","尤溪县","Youxi County","福建省","2018","12","2.50513066726297","250.513066726297"
"350426","尤溪县","Youxi County","福建省","2019","12","2.75164058585742","275.164058585742"
"350426","尤溪县","Youxi County","福建省","2020","12","2.889407865719","288.9407865719"
"350426","尤溪县","Youxi County","福建省","2021","12","3.16280224069042","316.280224069042"
"350427","沙县","Sha County","福建省","2013","12","2.34995014502196","234.995014502196"
"350427","沙县","Sha County","福建省","2014","12","2.69449446641627","269.449446641627"
"350427","沙县","Sha County","福建省","2015","12","2.8373813625228","283.73813625228"
"350427","沙县","Sha County","福建省","2016","12","2.86264280494924","286.264280494924"
"350427","沙县","Sha County","福建省","2017","12","2.93938945796613","293.938945796613"
"350427","沙县","Sha County","福建省","2018","12","2.89165749870697","289.165749870697"
"350427","沙县","Sha County","福建省","2019","12","2.88495727634508","288.495727634508"
"350427","沙县","Sha County","福建省","2020","12","3.43627944548727","343.627944548726"
"350427","沙县","Sha County","福建省","2021","12","3.68856490878879","368.856490878879"
"350428","将乐县","Jiangle County","福建省","2013","12","2.38730967071511","238.730967071511"
"350428","将乐县","Jiangle County","福建省","2014","12","2.95990610119265","295.990610119264"
"350428","将乐县","Jiangle County","福建省","2015","12","2.91894688077527","291.894688077527"
"350428","将乐县","Jiangle County","福建省","2016","12","3.01406794874527","301.406794874527"
"350428","将乐县","Jiangle County","福建省","2017","12","3.12500908782954","312.500908782954"
"350428","将乐县","Jiangle County","福建省","2018","12","3.09898408921128","309.898408921128"
"350428","将乐县","Jiangle County","福建省","2019","12","3.33784008030531","333.784008030531"
"350428","将乐县","Jiangle County","福建省","2020","12","3.4207523252305","342.07523252305"
"350428","将乐县","Jiangle County","福建省","2021","12","3.81558742454964","381.558742454964"
"350429","泰宁县","Taining County","福建省","2013","12","2.82051770856681","282.051770856681"
"350429","泰宁县","Taining County","福建省","2014","12","3.0552736602324","305.52736602324"
"350429","泰宁县","Taining County","福建省","2015","12","2.89355388622973","289.355388622972"
"350429","泰宁县","Taining County","福建省","2016","12","2.45245827666114","245.245827666114"
"350429","泰宁县","Taining County","福建省","2017","12","2.47391720179718","247.391720179718"
"350429","泰宁县","Taining County","福建省","2018","12","2.53582464352881","253.582464352881"
"350429","泰宁县","Taining County","福建省","2019","12","2.72089093363928","272.089093363928"
"350429","泰宁县","Taining County","福建省","2020","12","2.88692856677325","288.692856677325"
"350429","泰宁县","Taining County","福建省","2021","12","3.08706239618164","308.706239618164"
"350430","建宁县","Jianning County","福建省","2013","12","2.93320923715839","293.320923715839"
"350430","建宁县","Jianning County","福建省","2014","12","3.00115011430365","300.115011430365"
"350430","建宁县","Jianning County","福建省","2015","12","3.02267796671157","302.267796671157"
"350430","建宁县","Jianning County","福建省","2016","12","2.8316857416459","283.16857416459"
"350430","建宁县","Jianning County","福建省","2017","12","3.00141284985421","300.141284985421"
"350430","建宁县","Jianning County","福建省","2018","12","3.07402252768206","307.402252768206"
"350430","建宁县","Jianning County","福建省","2019","12","3.21098734350458","321.098734350458"
"350430","建宁县","Jianning County","福建省","2020","12","3.39288871957555","339.288871957555"
