"year","county_cn","official_area_cn","source_title","source_url","variable_group","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","per_capita_gdp_yuan","resident_population_10k","urban_population_10k","rural_population_10k","urbanization_rate_pct","fixed_asset_investment_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_100m_yuan","real_estate_development_growth_pct","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_100m_yuan","retail_sales_growth_pct"
"2020","周宁县","周宁县","21-4 年末常住人口数（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2104.htm","population",,,,,,,,"15","7.92","7.08","52.8",,,,,,,,,,,,,,,,,,
"2020","周宁县","周宁县","21-19 社会消费品零售总额（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2119.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"277095","0.1"
"2021","安溪县","安溪县","22-10 一般公共预算支出（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2210.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"657572","67350","240598","7862","55988",,,,,
"2021","安溪县","安溪县","22-9 地方一般公共预算收入（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2209.htm","budget_revenue",,,,,,,,,,,,,,,,"329445","79080","43811","10110",,,,,,,,,,
"2021","安溪县","安溪县","22-7 固定资产投资（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2207.htm","fixed_asset_investment",,,,,,,,,,,,"321.53","3.6","100.98","-19.2",,,,,,,,,,,,,,
"2021","安溪县","安溪县","22-1 地区生产总值（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2201.htm","gdp","845.61","56.99","435.02","353.6","360.5","74.69","84308",,,,,,,,,,,,,,,,,,,,,,
"2021","安溪县","安溪县","22-14 规模以上工业增加值增速（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2214.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"14.6","15","13.9",,
"2021","安溪县","安溪县","22-4 年末常住人口数（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2204.htm","population",,,,,,,,"100.2","52.5","47.7","52.4",,,,,,,,,,,,,,,,,,
"2021","安溪县","安溪县","22-19 社会消费品零售总额（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2219.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"642.18","13"
"2021","仓山区","仓山区","22-10 一般公共预算支出（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2210.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"350544","47199","108624","10306","7291",,,,,
